模块,题型,题目,答案,解析,我的笔记
发酵工程,单选,"在代谢产物收率（Y p/s）的定义中，分母 ΔS 代表的是：
A. 底物的消耗量
B. 生成的代谢产物量
C. 单位时间内的生长速率
D. 培养基的起始浓度
","A
",代谢产物收率定义为生成的代谢产物量 ΔP 对底物的消耗量 ΔS 之比。,
发酵工程,单选,"人工神经网络这种计算模型的特点是：
A. 并行分布式信息处理结构
B. 模拟达尔文的随机变异过程
C. 建立显性的多项式回归曲线
D. 仅能处理线性关系的简单数据
","A
",人工神经网络是由神经元连接构成的复杂网络，是一种并行分布式信息处理结构。,
发酵工程,判断,"判断题：广义的发酵概念仅包括酒精、乳酸等厌氧培养的生产过程。
","错误
",广义概念还包括通气（有氧）培养的过程，如抗生素、氨基酸、酶制剂的生产。,
发酵工程,判断,"判断题：初级代谢产物是菌体生长繁殖所必需的物质。
","正确
",文本指出，初级代谢产物如氨基酸、核苷酸等，是菌体生长繁殖所必需的。,
发酵工程,判断,"判断题：正交试验设计的结果分析仅包括方差分析，不能进行极差分析。
","错误
",正交试验设计结果分析包括极差分析和方差分析。,
发酵工程,判断,"判断题：发酵工程在冶金工业中可用于黄金开采和金属浸提。
","正确
",文本明确列举了冶金工业应用：黄金开采和铜、铀等金属的浸提。,
发酵工程,判断,"判断题：菌体得率 Yx/s 表示生成单位干菌体所需要的底物消耗量。
","错误
",菌体得率是消耗单位基质量 ΔS 与生成的干菌体 ΔX 之间的比值，即单位底物能产出多少菌体。,
发酵工程,多选,"多选题：下列产物中，属于微生物初级代谢产物 (Primary metabolite) 的有：
A. 氨基酸
B. 核苷酸
C. 抗生素
D. 核酸
","ABD
",初级代谢产物包括氨基酸、核苷酸、蛋白质、核酸、糖类等；抗生素属于次级代谢产物。,
发酵工程,多选,"多选题：发酵环境条件的优化技术通常需要研究哪些因素对产物的影响？
A. 温度和 pH 值
B. 搅拌（剪切）速率
C. 供氧情况
D. DNA重组的精确位点
","ABC
",环境条件优化包括研究温度、pH值、搅拌速率和供氧对细胞生长和代谢分布的影响。,
发酵工程,多选,"多选题：发酵工程在农业中的应用主要包括：
A. 生物固氮
B. 生物杀虫剂
C. 微生物饲料
D. 重组蛋白疫苗
","ABC
",文本列出的农业应用包括生物固氮、生物杀虫剂、微生物饲料。疫苗通常归为医药工业。,
发酵工程,多选,"多选题：关于“系统生物学”思想在发酵系统优化中的应用，其优化内容包括：
A. 罐温、pH 的优化
B. 氧传递过程的优化与控制
C. 基质流加补料策略的优化
D. 发酵设备外壳的涂漆优化
","ABC
",文本指出系统优化技术的内容包括：罐温与pH优化、氧传递优化、基质流加补料策略优化。,
发酵工程,多选,"多选题：常用的数理统计优化方法（数理方法）有哪些？
A. 正交试验设计
B. 回归试验设计
C. 人工神经网络
D. 遗传算法
","ABCD
",文本在“常用数理方法”部分列出了正交试验设计、回归试验设计、人工神经网络和遗传算法四种。,
蛋白质工程与酶工程,单选,"根据学习材料，酶的催化效率比非酶催化反应速率高多少倍？
A. 10^8 ~ 10^20
B. 10^7 ~ 10^13
C. 10^6 ~ 10^10
D. 与无机催化剂相当
","B
",材料明确指出，酶的催化效率比相应的非酶催化反应速率高 10^7 ~ 10^13 倍。,
蛋白质工程与酶工程,单选,"国际生化与分子生物学联合会（NC-IUBMB）根据什么性质对酶进行分类？
A. 酶的分子量大小
B. 酶的来源（动物、植物、微生物）
C. 酶促反应的性质
D. 酶的最适pH值
","C
",材料中“酶的分类”部分明确写道：“NC-IUBMB 根据酶促反应的性质将酶分为6大类”。,
蛋白质工程与酶工程,单选,"以下哪一项是“裂解酶类（lyases）”催化反应的典型特征？
A. 电子转移
B. 通过加水导致键的断裂
C. 消除反应，产生双键
D. 水解ATP与分子连接偶联
","C
",根据材料中提供的酶分类表，裂解酶类的反应性质是“消除反应，产生双键”。,
蛋白质工程与酶工程,单选,"蛋白质工程诞生的标志性事件是什么？
A. 第一次国际酶工程会议的召开
B. Ulmer 提出蛋白质工程的概念
C. 基因工程技术的成熟
D. 第一个蛋白质晶体结构的解析
","B
",材料在“蛋白质工程”部分指出：“20世纪80年代初，Ulmer提出蛋白质工程的概念，标志着蛋白质工程的诞生”。,
蛋白质工程与酶工程,单选,"以下哪一项**不是**微生物作为酶生产来源的优点？
A. 生长繁殖快，生活周期短
B. 产生的酶通常比活很高
C. 菌株种类繁多，酶品种齐全
D. 所有微生物菌株都对人安全无毒
","D
",材料列举了微生物作为酶生产来源的多个优点，但并未声称“所有”微生物都安全无毒。在构建理想宿主的要求中，“安全”是需要筛选的特性之一，而非固有优点。,
蛋白质工程与酶工程,单选,"构建用于生产酶的基因工程菌时，以下哪项是理想宿主系统应具备的特点？
A. 宿主自身蛋白酶尽可能多，以帮助加工外源蛋白
B. 克隆载体与宿主相容性差，以保证稳定性
C. 菌体不易大规模培养，以保持高浓度
D. 宿主自身蛋白酶尽可能少，不易降解外源酶
","D
",材料在“构建流程”后列出了理想宿主系统的特点，其中包括“宿主自身蛋白酶尽可能少，不易降解外源酶”。,
蛋白质工程与酶工程,单选,"在微生物发酵生产中，通过添加“底物类似物”来诱导酶合成，以下哪个是例子？
A. 添加淀粉来诱导淀粉酶
B. 添加乳糖来诱导β-半乳糖苷酶
C. 添加纤维素二糖来诱导纤维素酶
D. 添加IPTG来诱导β-半乳糖苷酶
","D
",材料中明确指出，异丙基β-D-硫半乳糖苷（IPTG）是β-半乳糖苷酶的诱导物，且IPTG是乳糖的类似物，而非底物本身。,
蛋白质工程与酶工程,单选,"在提高酶产量的措施中，添加非离子型表面活性剂（如吐温）的主要作用被认为是什么？
A. 作为酶的激活剂
B. 改变细胞膜的通透性，使胞内酶泄漏出来
C. 作为微生物的生长因子
D. 螯合有害金属离子
","B
",材料在“添加表面活性剂”部分说明，其作用机理可能在于“改变细胞膜的通透性，使更多的酶从细胞内透过细胞膜泄漏出来”。,
蛋白质工程与酶工程,单选,"根据材料，凝乳酶（Chymosin）在干酪生产中的作用是专一性地切割酪蛋白中的哪个肽键？
A. 任意肽键
B. Phe105-Met106之间的肽键
C. 肽链的末端
D. 材料未提及
","B
",材料在“应用：凝乳酶发酵生产”中有明确描述：“可专一地切割酪蛋白中Phe105-Met106之间的肽键”。,
蛋白质工程与酶工程,单选,"以下哪种培养方式被材料提及为可用于“动物细胞培养生产蛋白质”？
A. 固体发酵
B. 液体深层发酵
C. 微载体培养
D. 固定化原生质发酵
","C
",材料在“动物细胞培养生产蛋白质”部分列举了三种方式：悬浮培养、贴壁培养和微载体培养。,
蛋白质工程与酶工程,单选,"根据酶的命名规则，“乳酸脱氢酶”属于什么命名法？
A. 国际系统命名法
B. 习惯命名法
C. 编码命名法
D. 化学命名法
","B
",材料指出，酶有系统名和习惯名。“乳酸脱氢酶”符合习惯命名法“底物加反应类型”的描述，且是文中给出的例子。,
蛋白质工程与酶工程,单选,"酶工程作为一个完善的技术体系形成的标志是什么？
A. 第一个酶制剂的工业化生产
B. 蛋白质工程概念的提出
C. 第一次国际酶工程会议的召开
D. 基因工程技术的应用
","C
",材料在“酶工程”部分明确写道：“1971年第一次国际酶工程会议的召开，标志了酶工程学科和完善的技术体系的形成”。,
蛋白质工程与酶工程,单选,"在筛选产酶微生物菌株时，对于“胞内酶”的产酶菌株，主要检测方法是什么？
A. 直接检测发酵液上清中的酶活
B. 检测菌落周围底物水解圈的大小
C. 需要破碎细胞后检测细胞提取物中的酶活
D. 材料未提及
","C
",材料在“产酶菌种的筛选”中区分了“胞外酶”和“胞内酶”的检测。胞内酶存在于细胞内，自然需要破碎细胞后才能检测其活性。,
蛋白质工程与酶工程,单选,"以下哪项措施是为了降低“分解代谢产物阻遏”对酶生产的影响？
A. 添加大量易于利用的碳源（如葡萄糖）
B. 采用难于利用的碳源，或分次添加碳源
C. 添加高浓度的代谢末端产物
D. 始终维持单一碳源不变
","B
",材料在“降低阻遏物浓度”部分说明，为避免分解代谢物阻遏，可采用难于利用的碳源，或分次添加碳源。,
蛋白质工程与酶工程,单选,"固定化细胞发酵技术与传统液体深层发酵相比，其优势**不包括**以下哪项？
A. 稳定性高，可反复使用
B. 发酵液中菌体含量少，利于后期纯化
C. 菌体生长和繁殖速度更快
D. 易于实现自动化生产
","C
",材料列举了固定化细胞技术的优势：稳定性高、可反复使用易自动化、发酵液菌体少易纯化。并未提及能加快菌体生长速度。,
蛋白质工程与酶工程,单选,"蛋白质工程的主要目标是什么？
A. 大规模发酵生产天然蛋白质
B. 改造天然蛋白质性能，使其符合需要
C. 仅对蛋白质进行分离和纯化
D. 模拟酶的人工合成
","B
",材料对蛋白质工程的定义是：“利用基因工程技术手段，改造天然蛋白质性能，使其符合社会生产生活的需要”。,
蛋白质工程与酶工程,单选,"从微生物中提取的凝乳酶用于干酪生产时，曾经遇到的主要问题是什么？
A. 产量太低
B. 酶活性不稳定
C. 常引起乳酪苦味
D. 提取过程复杂
","C
",材料在介绍凝乳酶时提到，从微生物中提取的产量大，“但是常引起乳酪苦味”，这是转向基因工程生产的原因之一。,
蛋白质工程与酶工程,单选,"“产酶促进剂”提高酶产量的确切作用机制是什么？
A. 已经研究得非常清楚
B. 全部都是酶的激活剂
C. 全部都是微生物生长因子
D. 作用机制尚未完全阐明
","D
",材料对“产酶促进剂”的定义明确指出，它们是“作用机制尚未阐明的一类物质”。,
蛋白质工程与酶工程,单选,"根据材料，以下哪种物质作为诱导物时，其原理是“让他看到好处”（即反应产物诱导）？
A. 淀粉诱导淀粉酶
B. 乳糖诱导β-半乳糖苷酶
C. 纤维素二糖诱导纤维素酶
D. IPTG诱导β-半乳糖苷酶
","C
",在“添加诱导物”的举例中，“纤维素二糖诱导纤维素酶的产生”后面特别标注了“（让他看到好处）”，表明它是反应产物作为诱导物的例子。,
蛋白质工程与酶工程,单选,"酶作为生物催化剂的特点之一是“反应条件温和”，通常指在哪个温度附近？
A. 100℃
B. 60℃
C. 37℃
D. 4℃
","C
",材料在“酶的主要催化特点”中明确写道：“酶催化反应都在相对温和的条件下进行（37℃）”。,
蛋白质工程与酶工程,判断,"判断题：所有酶的本质都是蛋白质。
","错误
",材料第一段明确指出：“绝大多数酶是蛋白质，也有一些RNA具有催化功能，称为核酶”。因此，并非所有酶都是蛋白质。,
蛋白质工程与酶工程,判断,"判断题：在酶的微生物发酵生产中，为了诱导目标酶的合成，所使用的碳源（底物）必须与酶的最适底物完全相同。
","错误
",材料中提到，诱导物可以是“底物”、“反应产物”或“底物类似物”。例如，IPTG是β-半乳糖苷酶的诱导物，但它并不是其天然底物乳糖。,
蛋白质工程与酶工程,判断,"判断题：一个理想的产酶菌株，除了高产、稳定外，还应保证其不产生有毒物质，并且产生的酶容易分离纯化。
","正确
",材料在“What makes a good strain for enzyme production?”中列出的要求包括：“不产生有毒物质（Safe）”和“产生的酶容易分离纯化（Easy to isolate）”。,
蛋白质工程与酶工程,判断,"判断题：蛋白质工程就是蛋白质的分离纯化工程。
","错误
",蛋白质工程的核心是“改造”或“构建”蛋白质，其基础是分子设计和基因工程技术。分离纯化只是蛋白质生产流程中的一个环节，并非蛋白质工程本身。,
蛋白质工程与酶工程,判断,"判断题：添加非离子型表面活性剂提高酶产量的确切机理，是作为产酶促进剂直接刺激了酶的生物合成。
","错误
",材料明确提到，表面活性剂的作用机理“尚未搞清”，并推测其可能是通过改变细胞膜通透性，打破反馈平衡来提高产量。它并不属于“作用机制尚未阐明”的产酶促进剂范畴（材料将二者分点叙述），且其推测机制也非直接刺激合成。,
蛋白质工程与酶工程,多选,"多选题：以下哪些特性是酶作为生物催化剂的主要特点？（材料中明确列举的）
A. 高效性
B. 专一性
C. 反应条件温和
D. 均为大分子
E. 具有调节能力
F. 不稳定性
","ABCEF
",材料在“酶的主要催化特点”中分点列举了：1.高效性 2.专一性 3.反应条件温和 4.具有调节能力 5.不稳定性。“均为大分子”虽然常见，但并非材料中明确列举的催化特点，且核酶本质是RNA，不一定是“大分子蛋白质”。,
蛋白质工程与酶工程,多选,"多选题：根据学习材料，构建用于生产酶的基因工程菌（细胞）时，其目标主要包括？
A. 增加酶基因拷贝数，提高表达量
B. 改善原有酶的各种性能
C. 将胞外酶转化为胞内酶以利保存
D. 扩充可安全使用的酶源
","ABD
",材料在“构建基因工程菌的目标”中明确列出了三点：1.增加酶基因拷贝数，提高酶表达量；2.改善原有酶的各种性能；3.扩充可安全使用的酶源。并未提及C选项。,
蛋白质工程与酶工程,多选,"多选题：以下哪些方法属于材料中提到的“提高酶产量”的措施？
A. 添加诱导物
B. 降低阻遏物浓度
C. 添加表面活性剂（非离子型）
D. 添加产酶促进剂
","ABCD
",材料在“提高酶产量的措施”下，明确分为了a、b、c、d四点，分别对应A、B、C、D四个选项。,
蛋白质工程与酶工程,多选,"多选题：根据材料中“酶的分类”表格，以下酶类与其实例的匹配哪些是正确的？
A. 氧化还原酶类 — 苹果酸脱氢酶
B. 转移酶类 — 氨基转移酶
C. 水解酶类 — 柠檬酸合酶
D. 合成酶类（连接酶） — 谷氨酰胺合成酶
","ABD
",根据材料中的表格：氧化还原酶实例为苹果酸脱氢酶（A对）；转移酶实例为氨基转移酶（B对）；裂解酶实例为柠檬酸合酶，而水解酶实例是蛋白酶（C错）；合成酶（连接酶）实例为谷氨酰胺合成酶（D对）。,
蛋白质工程与酶工程,多选,"多选题：材料中指出，酶的固定化细胞/原生质体发酵技术具有哪些优势？
A. 稳定性高
B. 可反复使用，易实现自动化生产
C. 发酵液菌体含量少，酶易分离纯化
D. 能显著提高所有酶的生产速率
","ABC
",材料在“固定化细胞和固定化原生质技术”下，明确列出了其三点优势：稳定性高；可反复使用，易实现自动化生产；发酵液种菌体含量少，酶易分离纯化，品质提升。并未提及D选项“能显著提高所有酶的生产速率”。,
蛋白质工程与酶工程,单选,"根据材料，不同用途的酶对分离纯化的要求不同。以下哪种酶需要最高度的纯化，甚至制成晶体并去除热源？
A. 工业用酶（如洗涤剂中的蛋白酶）
B. 食品用酶
C. 医药用酶
D. 饲料用酶
","C
",材料在“Intro”部分明确指出，医药用酶需要高度的分离纯化，制成晶体，去除热源。,
蛋白质工程与酶工程,单选,"在酶分离纯化的一般流程中，对于胞内酶，第一步操作通常是什么？
A. 溶剂抽提
B. 细胞破碎
C. 沉淀分离
D. 浓缩干燥
","B
",材料在“一般流程”中列出：对于胞内蛋白/酶，首先需要进行“细胞破碎（Break）”。,
蛋白质工程与酶工程,单选,"根据材料，以下哪类细胞的破碎难度相对最大（最难破碎）？
A. 动物细胞
B. 革兰氏阴性细菌
C. 革兰氏阳性细菌
D. 植物细胞
","D
",材料在“破碎细胞”部分给出了从难到易的顺序：植物细胞 > 真菌 > 革兰氏阳性细菌 > 革兰氏阴性细菌 > 动物细胞。因此，植物细胞的破碎难度最大。,
蛋白质工程与酶工程,单选,"“高压匀浆法”属于哪种类型的细胞破碎方法？其作用机理是什么？
A. 机械法；固体剪切作用
B. 机械法；液体剪切作用
C. 非机械法；酶分解作用
D. 非机械法；液体剪切作用
","B
",根据材料中“破碎细胞”的分类表格，高压匀浆法属于“机械法”，其作用机理是“液体剪切作用”。,
蛋白质工程与酶工程,单选,"下列细胞破碎方法中，哪一项是通过“反复冻结-融化”的原理来破碎细胞的？
A. 珠磨法
B. 超声破碎法
C. 酶溶法
D. 冻结融化法
","D
",材料中“非机械法”的表格里明确列出了“冻结融化法”，其作用机理是“反复冻结-融化”。,
蛋白质工程与酶工程,单选,"在沉淀分离方法中，利用“不同蛋白质在不同中性盐浓度下溶解度不同”的原理进行分离的方法是？
A. 有机溶剂沉淀法
B. 等电点沉淀法
C. 中性盐沉淀法
D. 选择性沉淀法
","C
",材料在“沉淀分离”部分的第一点就是“中性盐沉淀法”，并说明其原理是不同蛋白质在不同中性盐浓度下溶解度不同。,
蛋白质工程与酶工程,单选,"工业上常用什么设备来完成酶的粗分离，以除去细胞残渣或抽提过程中的沉淀物？
A. 层析柱
B. 超滤装置
C. 板框压滤机
D. 透析袋
","C
",材料在“离心分离”部分末尾提到：“工业上常用板框压滤机来完成酶的粗分离。”,
蛋白质工程与酶工程,单选,"以下哪种膜分离技术最适于生物大分子的分离？
A. 透析
B. 超滤
C. 微滤
D. 纳滤
","B
",材料在“过滤与膜分离”的“超滤”部分明确指出：“最适于生物大分子”。,
蛋白质工程与酶工程,单选,"凝胶过滤层析（分子筛层析）的分离原理是什么？
A. 利用蛋白质等电点不同进行分离
B. 利用蛋白质疏水性不同进行分离
C. 利用蛋白质分子大小不同进行分离
D. 利用蛋白质与配体专一性结合进行分离
","C
",材料在“凝胶过滤层析”部分说明，其原理是利用凝胶的“分子筛作用”，使蛋白质按相对分子量由大到小顺序流出。,
蛋白质工程与酶工程,单选,"下列哪种凝胶材料**不是**材料中提到的常用凝胶色谱填料？
A. 葡聚糖凝胶 (Dextran gel)
B. 琼脂糖凝胶 (Agarose gel)
C. 聚丙烯酰胺凝胶 (Polyacrylamide gel)
D. 硅胶 (Silica gel)
","D
",材料中列出的常用凝胶色谱填料包括葡聚糖凝胶、聚丙烯酰胺凝胶和琼脂糖凝胶。硅胶是另一种层析介质，但并未在“凝胶过滤层析”的填料列表中被提及。,
蛋白质工程与酶工程,单选,"离子交换层析中，洗脱结合在离子交换剂上的蛋白质，通常采用什么方法？
A. 改变洗脱液的pH或盐浓度梯度
B. 增加洗脱液的流速
C. 降低操作温度
D. 更换不同极性的洗脱液
","A
",材料在“离子交换层析”原理中说明：“可以通过改变洗脱液的酸碱度或盐浓度梯度，削弱其结合能力，把结合在离子交换剂上的蛋白质分别洗脱下来”。,
蛋白质工程与酶工程,单选,"利用抗体与抗原（目标蛋白）的特异性结合进行分离纯化的层析技术是？
A. 生物亲和层析
B. 免疫亲和层析
C. 金属离子螯合亲和层析
D. 凝集素亲和层析
","B
",材料在“亲和层析类型”中明确指出，“免疫亲和层析”利用的是“抗体结合”。,
蛋白质工程与酶工程,单选,"疏水层析的原理是基于蛋白质分子的哪种特性？
A. 所带电荷的种类和数量
B. 分子量大小
C. 表面疏水区域的强弱
D. 与特定配体的专一性结合
","C
",材料说明，疏水层析的原理是“蛋白质分子表面大都有或强或弱的疏水区域……利用这个特性使蛋白质分离。”,
蛋白质工程与酶工程,单选,"在层析聚焦技术中，形成pH梯度的目的是什么？
A. 提供不同的盐浓度环境
B. 为蛋白质提供聚焦效应发生的条件
C. 改变蛋白质的疏水性
D. 激活酶的活性
","B
",材料在“层析聚焦”原理中指出：“聚焦效应：蛋白质按其等电点在pH梯度环境中进行排列的过程叫做聚焦效应。pH梯度的形成是聚焦效应的先决条件。”,
蛋白质工程与酶工程,单选,"以下哪种双水相系统主要用于大规模提纯酶？
A. 聚乙二醇/葡聚糖体系
B. 聚乙二醇/硫酸盐或磷酸盐体系
C. 葡聚糖/无机盐体系
D. 两种盐的体系
","B
",材料在“双水相萃取分离”部分明确指出，高聚物/无机盐体系（如PEG/硫酸盐或磷酸盐体系）“主要用来大规模地提纯酶”。,
蛋白质工程与酶工程,单选,"评价酶纯化效果时，“纯化倍数”的计算公式是什么？
A. （每次总活力/第一次总活力）×100%
B. 每次总活力/每次总蛋白
C. 每次比活力/第一次比活力
D. 每次总蛋白/第一次总蛋白
","C
",材料在“酶活力测定及纯化效果的评价”中给出了公式：纯化倍数 = 每次比活力/第一次比活力。,
蛋白质工程与酶工程,单选,"根据材料中葡萄糖氧化酶的纯化示例，经过“羟基磷灰石柱层析”后，纯化倍数达到了多少？
A. 63.5
B. 102.0
C. 286.0
D. 364.0
","C
",查看材料中的表格，步骤6“羟基磷灰石柱层析”对应的纯化倍数为286.0。,
蛋白质工程与酶工程,单选,"从葡萄糖氧化酶的纯化示例看，哪一步纯化操作的得率（收率）最高？
A. 粗抽提液
B. 氯化锰处理
C. DEAE-纤维素层析
D. PAGE
","A
",得率计算公式为（每次总活力/第一次总活力）×100%，因此第一次（粗抽提液）的得率是100%，是最高的，后续步骤均因酶活力损失而降低。,
蛋白质工程与酶工程,单选,"大多数工业酶制剂以哪种形式保存？为什么？
A. 液体酶制剂；因为生产简单，成本低，使用方便
B. 固体酶制剂；因为体积小，容易保存和运输，比较稳定
C. 液体酶制剂；因为稳定性高，不易失活
D. 固体酶制剂；因为使用更方便，无需溶解
","B
",材料在“蛋白质（酶）制剂的保存”部分指出：“固体酶制剂；体积小，容易保存和运输，比较稳定”，并明确“多数工业酶制剂以固体酶制剂保存”。,
蛋白质工程与酶工程,单选,"保存酶活力时，酶的保存温度一般应控制在什么范围？
A. -20℃以下
B. 0~4℃
C. 室温（25℃）
D. 37℃
","B
",材料在“保存酶活力须注意”的第一点就明确指出：“酶的保存温度一般在0~4℃”。,
蛋白质工程与酶工程,判断,"判断题：在酶分离纯化过程中，为了获得更高的纯度，可以不惜一切代价提高纯化倍数，无需考虑得率（收率）。
","错误
",材料指出，纯化效果需通过“得率”和“纯化倍数”两个指标共同衡量。得率反映了酶活力的损失情况，过低的得率意味着目标酶大量损失，即使纯化倍数高，总产量也可能无法满足需求。,
蛋白质工程与酶工程,判断,"判断题：双水相萃取分离系统的一个显著优点是含水量高（70-90%），这有利于在接近生理环境的体系中保持生物活性物质的稳定性。
","正确
",材料在“双水相萃取分离的优点”中明确列出：“含水量高(70-90%)，在接近生理环境的体系中进行萃取，避免生物活性物质失活或变性”。,
蛋白质工程与酶工程,判断,"判断题：层析聚焦技术中，蛋白质必须按照严格的顺序上样，一旦先加入的样品开始流出，就不能再加入新样品，否则会破坏分离效果。
","错误
",材料在“层析聚焦”原理的最后提到：“一种样品分次加入时，只要先加入者尚未流出，并且有一定的聚焦时间，就还可以将样品再加到柱上，其聚焦过程仍能够顺利完成”。这说明在一定条件下可以分次加样。,
蛋白质工程与酶工程,判断,"判断题：蛋白质的“比活力”是指每毫克酶蛋白所含的酶活力单位数，它是反映酶纯度的指标。
","正确
",材料在“比活力”的定义中明确指出：“比活力是指每毫克酶蛋白所含的酶活力单位数”，并且说明它是“反映酶的纯度”的指标。,
蛋白质工程与酶工程,判断,"判断题：所有用于蛋白质和酶提取的溶剂都必须是缓冲溶液。
","错误
",材料在“溶剂抽提”部分说明，抽提通常使用缓冲溶液、稀酸、稀碱或有机溶剂。并指出“蛋白质和酶的提取一般以缓冲溶液为主”，但并不是“必须”或“全部”，其他溶剂如稀酸、稀碱、有机溶剂也可用于特定情况。,
蛋白质工程与酶工程,多选,"多选题：根据材料，在酶分离纯化操作中需要注意哪些事项以避免酶失活？
A. 低温操作
B. 使用缓冲液，避免过酸过碱
C. 选用合适浓度的盐溶液
D. 避免剧烈搅拌产生泡沫
","ABCD
",材料在“注意事项”中明确列出了这四点：1.低温操作；2.使用缓冲液；3.选用合适浓度的盐溶液；4.避免剧烈搅拌产生泡沫。,
蛋白质工程与酶工程,多选,"多选题：以下哪些方法属于材料中分类的“非机械法”细胞破碎技术？
A. 酶溶法
B. 化学渗透法
C. 高压匀浆法
D. 渗透压法
","ABD
",根据材料中的表格，“非机械法”包括：酶溶法、化学渗透法、渗透压法、冻结融化法、干燥法。高压匀浆法属于“机械法”。,
蛋白质工程与酶工程,多选,"多选题：以下关于亲和层析类型的描述，哪些与材料中的内容相符？
A. 生物亲和层析：利用生物分子间的天然亲和力
B. 金属离子螯合亲和层析：利用蛋白质与固定化金属离子的结合
C. 拟生物亲和层析：利用人工合成的配体进行模拟结合
D. 凝集素亲和层析：利用凝集素与糖蛋白的特异性结合
","ABCD
",材料在“亲和层析类型”中对各项均有描述：A对应“生物分子亲和力”；B对应“金属离子螯合”；C对应“人工合成配体”；D对应“凝集素的专一结合能力”。,
蛋白质工程与酶工程,多选,"多选题：双水相萃取分离技术具有哪些优点？（根据材料列举）
A. 可直接从含菌体的发酵液中提取蛋白质
B. 分相时间短，自然分相一般为5-15分钟
C. 界面张力小，利于质量传递
D. 无有机溶剂残留，易于放大和连续操作
","ABCD
",材料在“双水相萃取分离的优点”中明确列出了所有四个选项的内容。,
蛋白质工程与酶工程,多选,"多选题：根据材料，为了在保存过程中维持酶活力，可以采取哪些措施？
A. 将温度控制在0~4℃
B. 选择合适的pH缓冲液
C. 添加硫基或其他还原剂以防止氧化
D. 尽量提高蛋白质的浓度和纯度
","ABCD
",材料在“保存酶活力须注意”部分分点说明了温度、缓冲液(pH)、防止氧化（添加还原剂）以及蛋白质浓度和纯度（高浓度更稳定）的影响。,
